base_name,tag_width,tag_height,tag_class_number,tag_x_center,tag_y_center,aspect_ratio,area,perimeter,surface_structure,solidity,circularity
21-UW-G600-0032_5_20211022161503_1035_00_05_UD_2_338-1180-524-1390-338-1180-524-1390_18-20-18-20_136-136,0.968254,0.959559,4,0.515873,0.494485,0.4484126984126984,19966,699.4701294725884,0.8853649887171976,0.9105668810142746,0.5128172022782157
21-UW-G600-0032_5_20211022161503_1035_00_05_UD_3_208-648-448-918-208-648-448-918_20-20-20-20_171-171,0.95941,0.959044,0,0.509225,0.506826,0.9246575342465754,78802,1115.8994949366115,1.0000000000000002,0.9998096857276983,0.79523766607531
21-UW-G600-0032_5_20211022161503_1035_00_05_UD_8_1524-916-1728-1074-1524-916-1728-1074_20-15-20-15_59-59,0.93038,0.935065,6,0.503165,0.497835,0.5192307692307693,3431,478.9015869776647,0.6333168918281888,0.6332595053525286,0.1879914205711063
21-UW-G600-0032_5_20211022161511_1036_00_05_UD_15_1489-1471-1728-1667-1489-1471-1728-1667_20-19-20-19_73-73,0.95098,0.970696,0,0.514706,0.489011,0.7328519855595668,27439,1766.7493500861672,0.5380893715975877,0.49168548184783,0.1104659071257917
21-UW-G600-0032_5_20211022161511_1036_00_05_UD_26_357-317-703-640-357-317-703-640_20-20-20-20_140-140,0.965839,0.962366,5,0.501553,0.497312,0.8648648648648649,118390,1373.6568542494924,1.0,0.9999746606640596,0.788439492140988
21-UW-G600-0032_5_20211022161518_1037_00_05_UD_11_1527-444-1806-664-1527-444-1806-664_20-20-20-20_56-56,0.945946,0.958199,6,0.503861,0.495177,0.5983827493261455,37436,2195.197184982169,0.5222985651599693,0.4842698954775949,0.0976230177161962
21-UW-G600-0032_5_20211022161518_1037_00_05_UD_12_1523-690-1736-912-1523-690-1736-912_20-20-20-20_158-158,0.941441,0.952191,4,0.515766,0.496016,0.8835341365461847,54773,931.6568542494924,1.0,0.999963486992241,0.7929840018602204
21-UW-G600-0032_5_20211022161518_1037_00_05_UD_13_505-870-687-1086-505-870-687-1086_18-20-18-20_145-145,0.954802,0.968872,7,0.522599,0.511673,0.5454545454545454,20175,1403.4499269370551,0.4825028676016273,0.7029371798892025,0.1287151191118954
21-UW-G600-0032_5_20211022161518_1037_00_05_UD_19_414-298-612-442-414-298-612-442_19-15-19-15_119-119,0.91129,0.922747,7,0.512097,0.491416,0.4697674418604651,17835,573.5462479183374,0.9628387273452804,0.9697150935189212,0.6813120838248978
21-UW-G600-0032_5_20211022161518_1037_00_05_UD_39_2050-1687-2194-1779-2050-1687-2194-1779_15-15-15-15_74-74,0.94,0.969512,4,0.48,0.490854,0.6111111111111112,7016,902.8893936688452,0.5704697290981573,0.4384725954627835,0.1081509507549014
21-UW-G600-0032_5_20211022161518_1037_00_05_UD_3_1308-398-1489-591-1308-398-1489-591_18-19-18-19_131-131,0.954751,0.950673,6,0.522624,0.506726,0.3125,1529,195.6101730552664,0.9931335588045916,0.9461633663366336,0.5021511652778857
21-UW-G600-0032_5_20211022161518_1037_00_05_UD_5_1319-1079-1493-1349-1319-1079-1493-1349_17-20-17-20_5-5,0.961957,0.964286,0,0.508152,0.496429,0.6512455516014235,15556,1649.8549057834389,0.5522633085725113,0.3051332849492948,0.0718151866520848
21-UW-G600-0032_5_20211022161532_1039_00_05_UD_1_1696-544-1898-747-1696-544-1898-747_20-20-20-20_130-130,0.961864,0.938525,6,0.506356,0.493852,0.3793103448275862,245,83.18376618407356,0.863137041839902,0.7852564102564102,0.4449372739778079
21-UW-G600-0032_5_20211022161532_1039_00_05_UD_21_1954-1534-2231-1675-1954-1534-2231-1675_20-15-20-15_106-106,0.948571,0.996805,7,0.525714,0.501597,0.4615384615384615,493,112.91168824543142,0.8829775407584426,0.8244147157190636,0.485935895805118
21-UW-G600-0032_5_20211022161540_1040_00_05_UD_13_1254-352-1529-603-1254-352-1529-603_20-20-20-20_111-111,0.95045,0.953642,8,0.524775,0.480132,0.4285714285714285,544,144.36753236814715,0.830107839815147,0.7214854111405835,0.3279968683564069
21-UW-G600-0032_5_20211022161540_1040_00_05_UD_3_616-1422-788-1617-616-1422-788-1617_17-19-17-19_0-0,0.951613,0.957746,6,0.502688,0.492958,0.7860696517412935,18478,876.7615433949868,0.675762215216699,0.8125054964383079,0.302065998046347
21-UW-G600-0032_5_20211022161547_1041_00_05_UD_2_1546-530-1688-753-1546-530-1688-753_15-20-15-20_152-152,0.918239,0.964844,7,0.515723,0.490234,0.5521235521235521,19325,1389.4610742253485,0.5270926178708508,0.6016875272432903,0.1257872427686329
21-UW-G600-0032_5_20211022170424_1285_00_05_UD_9_1269-1379-1589-1532-1269-1379-1589-1532_20-15-20-15_86-86,0.943503,0.969512,6,0.50565,0.503049,0.5353846153846153,56544,992.2426406871192,1.0,0.999946946787628,0.7217065034898068
21-UW-G600-0032_5_20211022170438_1287_00_05_UD_18_613-403-749-645-613-403-749-645_15-20-15-20_169-169,0.825397,0.945055,4,0.507937,0.487179,0.4555555555555555,33204,780.2426406871193,1.0,0.9999096576023128,0.6853949608617058
21-UW-G600-0032_5_20211022170438_1287_00_05_UD_5_1562-718-1760-995-1562-718-1760-995_19-20-19-20_164-164,0.908602,0.960784,0,0.502688,0.503268,0.6039603960396039,55443,966.2426406871192,1.0,0.9999458933015908,0.7462497307408403
21-UW-G600-0032_5_20211022170438_1287_00_05_UD_6_814-489-1017-766-814-489-1017-766_20-20-20-20_139-139,0.958763,0.958333,4,0.520619,0.493056,0.6701388888888888,20291,1600.9676041556468,0.593809047160387,0.3656629002901371,0.0994828519247516
21-UW-G600-0032_5_20211022170438_1287_00_05_UD_9_1052-455-1198-655-1052-455-1198-655_15-20-15-20_169-169,0.867925,0.933333,4,0.509434,0.497778,0.7027027027027027,34626,750.2426406871193,1.0,0.9999133674088192,0.7730519868121966
21-UW-G600-0032_5_20211022170453_1289_00_05_UD_4_487-1472-671-1667-487-1472-671-1667_18-19-18-19_11-11,0.955446,0.945701,7,0.512376,0.504525,0.91324200913242,43793,831.6568542494924,1.0,0.9999543326863796,0.7956576061602747
21-UW-G600-0032_5_20211022170500_1290_00_05_UD_31_901-1540-1213-1889-901-1540-1213-1889_20-20-20-20_8-8,0.960133,0.986559,0,0.496678,0.498656,0.7973333333333333,44418,2409.3422791987305,0.55585910128192,0.3961506903071599,0.0961549973823369
21-UW-G600-0032_5_20211022170500_1290_00_05_UD_32_1068-1125-1438-1489-1068-1125-1438-1489_20-20-20-20_114-114,0.974719,0.974811,0,0.507022,0.502519,0.7696969696969697,131985,1556.4621202458748,0.9937310653526606,0.9752538164836626,0.6846322128456831
21-UW-G600-0032_5_20211022170507_1291_00_05_UD_18_2016-184-2197-490-2016-184-2197-490_18-20-18-20_171-171,0.928934,0.966049,4,0.515228,0.501543,0.6061538461538462,60871,1065.2670273047588,0.9714653989651988,0.9534035021771136,0.674067411247863
21-UW-G600-0032_5_20211022170507_1291_00_05_UD_7_864-1442-1025-1677-864-1442-1025-1677_16-20-16-20_23-23,0.899329,0.958801,7,0.489933,0.505618,0.3448275862068966,184,74.59797974644665,0.908858257337094,0.6996197718631179,0.4155024173330711
21-UW-G600-0032_5_20211022170507_1291_00_05_UD_8_1674-477-1940-764-1674-477-1940-764_20-20-20-20_159-159,0.926606,0.979472,8,0.504587,0.495601,0.6355685131195336,70890,1157.0365799264591,0.9610250399927966,0.9529250457038392,0.6654273720964703
21-UW-G600-0032_5_20211022170514_1292_00_05_UD_1_1875-641-2108-867-1875-641-2108-867_20-20-20-20_108-108,0.930736,0.94186,7,0.504329,0.498062,0.89453125,58618,964.2426406871192,1.0,0.9999488238003446,0.7922608485292224
21-UW-G600-0032_5_20211022170514_1292_00_05_UD_8_124-422-367-706-124-422-367-706_20-20-20-20_30-30,0.913978,0.971182,6,0.505376,0.5,0.5319767441860465,62946,1048.242640687119,1.0000000000000002,0.9999523423723968,0.7198704678053723
